Sides,Resolution,Filename,Area,Unknowns,Q1,C_shape,Build Time (s),Solve Time (s),Residual,NNZ
40,512,512.png,79068.0,79068,251020537.8093571,24.905327183818017,1.3195890729984967,0.7874291100015398,2.230897922939519e-12,394068
40,2048,2048.png,1259352.0,1259352,63242530005.69501,25.0775460716259,19.51099040599729,52.616216112000984,3.627800261884648e-11,6291696
40,128,128.png,4992.0,4992,1027698.5851851784,24.248417151912022,0.07548841500101844,0.019609420000051614,1.3722531164007523e-13,24640
6,256,256.png,19868.0,19868,15448636.286657006,25.55160317554598,0.3762141609986429,0.10606556100174203,5.471224131991207e-13,98688
6,1024,1024.png,315114.0,315114,3827643067.247348,25.942030448363983,4.691946593000466,4.795672534000914,8.59995500399885e-12,1572970
6,512,512.png,78732.0,78732,240168731.21392363,25.809887043449695,1.17379448200154,0.7143419490021188,2.1420062569193137e-12,392360
6,2048,2048.png,1258716.0,1258716,60917296736.37803,26.008474662170343,19.17084097100087,44.916495002999,3.492321672148636e-11,6288384
6,128,128.png,4994.0,4994,995777.1949223387,25.04579952942695,0.08629646899862564,0.020587890001479536,1.3664483229287437e-13,24642
18,256,256.png,19872.0,19872,15980431.783560447,24.711246188369067,0.3799173929983226,0.11618737200114992,5.644013756875996e-13,98724
18,1024,1024.png,314852.0,314852,3956771553.1162477,25.053703650372853,4.7366283670016855,6.1029483580023225,8.965943794160839e-12,1571720
18,512,512.png,78960.0,78960,250002028.7700548,24.938524021877015,1.1998189740006637,0.8044593269987672,2.2327925975761525e-12,393528
18,2048,2048.png,1258802.0,1258802,63100595234.10531,25.11200519305953,18.890478394001548,49.138556318001065,3.626263841769545e-11,6288930
18,128,128.png,4962.0,4962,1014078.1104253341,24.279632650460275,0.14524424300179817,0.020604646000720095,1.4242861649386765e-13,24490
10,256,256.png,19896.0,19896,15918053.344792467,24.86804180295709,0.3101505010017718,0.11728086400034954,5.603888620493376e-13,98840
10,1024,1024.png,315852.0,315852,3955340011.6137657,25.2222275736283,4.771243703999062,6.042136883999774,9.061904325123756e-12,1576700
10,512,512.png,79134.0,79134,249465288.42577899,25.102450106452903,1.206530281000596,0.7709318090019224,2.2386310597753857e-12,394390
10,2048,2048.png,1260576.0,1260576,62851529715.835724,25.282628107230163,18.987122074999206,47.9750778810012,3.6532579799984256e-11,6297768
10,128,128.png,5002.0,5002,1024416.0941112076,24.423673294304862,0.07914361499933875,0.020006891998491483,1.4546688840077165e-13,24690
36,256,256.png,19816.0,19816,15896848.631333297,24.70136472369906,0.31463461499879486,0.123022187002789,5.686884381472972e-13,98440
36,1024,1024.png,315400.0,315400,3975535311.244878,25.02233088425273,4.742357610997715,6.194896091998089,9.02684200619144e-12,1574464
36,512,512.png,79076.0,79076,251005124.21056616,24.911896901174007,1.1921261390016298,0.8104284639994148,2.2539958896063257e-12,394108
36,2048,2048.png,1259840.0,1259840,63286394033.40826,25.079590168498694,18.957506702998216,54.04744798400134,3.6714086730905955e-11,6294136
36,128,128.png,4984.0,4984,1022837.0513103843,24.285643512988187,0.07443853700169711,0.019429467000009026,1.4468515973126155e-13,24600
39,256,256.png,19867.0,19867,15984515.56481713,24.69250240331043,0.29777920200285735,0.11832276199857006,5.544659134829427e-13,98695
39,1024,1024.png,315096.0,315096,3968048603.402465,25.02123818011355,4.699686273001134,6.346556685999531,9.13298616530178e-12,1572942
39,512,512.png,79037.0,79037,250796525.1354047,24.908029988164053,1.1892096629999287,0.8026676630033762,2.252725476073493e-12,393913
39,2048,2048.png,1259977.0,1259977,63302509871.29422,25.078658709690473,18.98251433800033,58.44366154100135,3.679179582970655e-11,6294813
